"Welcome To HDRi Maker","HDRi Maker"
"Open Help","打开帮助"
"Libraries are not currently linked or installed","库未链接或未安装"
"Go to install","偏好设置"
"Other options:","其他选项:"
"Did you already work on HDRi Maker and you already installed the libraries? If so, indicate the paths below","您是否已经使用 HDRi Maker 并且已经安装过库？"
"Enter the path to the Default Library (HDRI_MAKER_DEFAULT_LIB)","输入默认库路径 (HDRI_MAKER_DEFAULT_LIB)"
"Enter the path of the User Library (HDRI_MAKER_USER_LIB)","输入用户库路径 (HDRI_MAKER_USER_LIB)"
"Choose the path","选择路径"
"Choose The Path","选择路径"
"Helps","帮助"
"Category:","类别:"
"Socials:","社交媒体:"
"General Options:","常规选项:"
"Show material popup label","显示材质名称"
"Icon preview dimension","图标预览尺寸"
"Icons popup size","预览弹出尺寸"
"Check update frequency:","检查更新频率:"
"Fix Options:","修复选项:"
"Try to Fix Unknow Nodes","尝试修复未知节点"
"Find Lost Images","查找丢失图像"
"Purge ExtremeAddons Cache","清理Extreme插件缓存"
"Regenerate Previews and Icons","重新生成预览图和图标"
"Experimental Options:","实验选项:"
"Show Creator Utility","现实创建工具"
"Volumetric Detail:","体积细节:"
"Very Low","非常低"
"Very High","非常高"
"Ultra","极高"
"Welcome to HDRi Maker Library Installation","欢迎使用HDRi Maker库安装工具"
"How to install libraries","如何安装库"
"If this is the first time you run HDRi Maker, please ch.ibrary where the addon will look for HDRi library files.","如果是第一次运行HDRi Maker，请选择HDRi库文件位置"
"If you have never used HDRi Maker, do not indicate the User library path","如果您没有使用过HDRi Maker，请勿输入用户库路径"
"If this is the first time you run HDRi Maker, please choose the path of the default library where the addon will look for HDRi library files.","如果是第一次运行HDRi Maker，请选择默认库文件位置"
"If you have already downloaded the library Volume files (Those with the '.exapack' extension), press the button below and indicate the path where the .exapack files are locate. If you don't have the library files, go to your Order page and download them.","如果您已经下载了库卷文件（扩展名为“.exapack ”的文件），请点击下面的按钮并指明 .exapack 文件所在的路径。\n如果您还没有库文件，请到您的订购页面下载。"
"Add more library expansions:","添加更多库扩展："
"Expansion Path","扩展路径"
"Add library","添加库"
"Make Asset Browser:","创建资产浏览器"
"Default Library","默认库"
"User Library","用户库"
"Choose Path","选择路径"
"Make Asset Browser","创建资产浏览器"
"Press ESC to cancel","按ESC取消"
"Choose Exapacks","选择扩展包"
"Check addon updates","检查插件更新"
"Addon Updates","插件更新"
"Go to your orderpage:","去你的订购页面:"
"Updates List: ","更新列表: "
"Library Updates","库更新"
"New libraries available!","新的库可用!"
"Check library updates","检查库更新"
"Try compile Exapack","尝试编译扩展包"
"pack available","扩展包可用"
"Uninstall","卸载"
"Not Installed","未安装"
"Exapack available","扩展包可用"
"Diffuse","漫射"
"Light","光源"
"Use Solid Color","使用纯色"
"Vectors","向量"
"Solve Nodes Problem","修复节点问题"
"Restore to default values","还原默认值"
"C. Strength","颜色.强度"
"Dome","穹顶"
"Dome V2","穹顶 V2"
"Dome V3","穹顶 V3"
"Dome Type:","穹顶类型:"
"Add Dome","添加穹顶"
"Remove Dome","移除穹顶"
